iter	Passed	Remaining
0	69	20685
1	77	11596
2	81	8109
3	85	6333
4	89	5280
5	92	4520
6	95	3997
7	99	3634
8	103	3337
9	107	3108
10	111	2922
11	114	2752
12	117	2595
13	121	2479
14	124	2359
15	128	2272
16	132	2200
17	136	2134
18	139	2064
19	143	2005
20	147	1956
21	151	1909
22	154	1860
23	158	1825
24	162	1791
25	166	1751
26	170	1725
27	173	1688
28	177	1660
29	181	1635
30	187	1630
31	192	1609
32	196	1592
33	200	1568
34	204	1549
35	209	1534
36	212	1514
37	217	1496
38	220	1476
39	223	1450
40	226	1429
41	229	1411
42	232	1390
43	236	1376
44	239	1358
45	242	1340
46	245	1323
47	248	1303
48	250	1284
49	253	1268
50	256	1251
51	258	1233
52	260	1216
53	263	1199
54	265	1184
55	268	1170
56	271	1157
57	274	1143
58	276	1129
59	278	1115
60	281	1102
61	284	1092
62	287	1081
63	290	1069
64	292	1058
65	295	1049
66	298	1038
67	301	1028
68	304	1018
69	306	1007
70	309	998
71	312	990
72	315	981
73	318	971
74	322	966
75	325	959
76	328	951
77	333	948
78	336	941
79	340	935
80	344	930
81	347	923
82	349	914
83	355	913
84	360	911
85	364	906
86	369	903
87	372	897
88	376	892
89	380	887
90	383	881
91	388	877
92	392	872
93	395	866
94	400	864
95	403	858
96	408	855
97	413	851
98	416	846
99	420	840
100	424	836
101	428	831
102	433	829
103	436	822
104	439	816
105	443	811
106	446	805
107	450	801
108	454	796
109	458	791
110	461	786
111	464	780
112	468	774
113	471	769
114	475	764
115	479	759
116	482	754
117	485	749
118	489	744
119	492	738
120	496	734
121	499	728
122	502	722
123	506	718
124	508	712
125	512	707
126	516	703
127	520	698
128	523	694
129	527	689
130	531	685
131	533	679
132	537	675
133	541	670
134	545	666
135	549	662
136	553	658
137	557	654
138	561	650
139	566	647
140	569	642
141	573	638
142	576	632
143	579	627
144	582	622
145	585	617
146	587	611
147	590	606
148	592	600
149	596	596
150	598	591
151	601	585
152	604	581
153	607	575
154	609	570
155	612	565
156	615	560
157	617	555
158	620	549
159	622	544
160	625	539
161	627	534
162	631	530
163	633	525
164	636	520
165	639	515
166	642	511
167	644	506
168	647	501
169	650	497
170	653	492
171	655	488
172	658	483
173	660	478
174	663	473
175	665	469
176	668	464
177	670	459
178	674	456
179	677	451
180	681	448
181	685	444
182	689	440
183	695	438
184	699	435
185	703	431
186	707	427
187	712	424
188	716	420
189	721	417
190	726	414
191	730	410
192	735	407
193	738	403
194	741	399
195	745	395
196	748	391
197	751	387
198	754	383
199	758	379
200	761	375
201	764	370
202	769	367
203	772	363
204	779	361
205	783	357
206	787	353
207	792	350
208	796	346
209	800	343
210	804	339
211	808	335
212	812	331
213	816	327
214	819	323
215	822	319
216	825	315
217	828	311
218	830	307
219	833	303
220	836	299
221	839	295
222	842	290
223	847	287
224	850	283
225	853	279
226	857	275
227	860	271
228	864	268
229	869	264
230	873	261
231	877	257
232	881	253
233	885	249
234	888	245
235	892	242
236	895	238
237	898	234
238	901	230
239	904	226
240	907	222
241	911	218
242	913	214
243	917	210
244	920	206
245	923	202
246	927	198
247	930	195
248	933	191
249	937	187
250	941	183
251	943	179
252	946	175
253	950	172
254	953	168
255	957	164
256	960	160
257	963	156
258	967	153
259	970	149
260	973	145
261	977	141
262	981	138
263	985	134
264	992	131
265	999	127
266	1004	124
267	1009	120
268	1014	116
269	1021	113
270	1025	109
271	1031	106
272	1035	102
273	1040	98
274	1044	94
275	1048	91
276	1051	87
277	1056	83
278	1060	79
279	1064	76
280	1067	72
281	1072	68
282	1074	64
283	1077	60
284	1081	56
285	1084	53
286	1086	49
287	1089	45
288	1092	41
289	1095	37
290	1099	34
291	1102	30
292	1105	26
293	1108	22
294	1111	18
295	1114	15
296	1117	11
297	1120	7
298	1123	3
299	1126	0
