iter	Passed	Remaining
0	5	2671
1	8	2004
2	10	1800
3	13	1686
4	16	1598
5	18	1558
6	22	1560
7	24	1511
8	27	1478
9	29	1461
10	32	1441
11	34	1412
12	37	1394
13	39	1370
14	42	1362
15	45	1374
16	48	1373
17	50	1361
18	53	1358
19	56	1366
20	59	1368
21	64	1402
22	67	1390
23	69	1383
24	72	1383
25	75	1381
26	78	1374
27	81	1381
28	84	1369
29	87	1366
30	90	1363
31	93	1360
32	95	1353
33	98	1348
34	101	1347
35	106	1366
36	109	1373
37	113	1380
38	116	1380
39	120	1385
40	124	1394
41	128	1398
42	131	1399
43	134	1397
44	138	1398
45	141	1392
46	144	1391
47	147	1384
48	149	1379
49	152	1374
50	156	1373
51	160	1380
52	163	1378
53	166	1375
54	169	1370
55	171	1362
56	174	1358
57	178	1361
58	182	1361
59	185	1358
60	188	1355
61	190	1347
62	193	1344
63	196	1338
64	199	1334
65	202	1333
66	205	1329
67	208	1325
68	211	1319
69	214	1315
70	216	1309
71	219	1306
72	222	1302
73	225	1297
74	228	1296
75	231	1291
76	234	1286
77	236	1281
78	239	1277
79	242	1274
80	245	1268
81	248	1265
82	251	1261
83	254	1260
84	258	1261
85	260	1255
86	263	1249
87	265	1244
88	268	1240
89	271	1235
90	273	1230
91	276	1226
92	278	1220
93	281	1214
94	283	1209
95	286	1205
96	289	1202
97	292	1200
98	294	1194
99	297	1190
100	300	1187
101	304	1189
102	308	1188
103	311	1185
104	314	1184
105	317	1180
106	321	1179
107	324	1176
108	327	1175
109	331	1175
110	335	1174
111	339	1176
112	342	1172
113	345	1169
114	347	1164
115	351	1162
116	354	1161
117	359	1162
118	362	1160
119	365	1157
120	368	1153
121	371	1149
122	374	1146
123	377	1145
124	380	1141
125	382	1135
126	384	1130
127	387	1126
128	390	1124
129	393	1120
130	397	1120
131	400	1116
132	402	1111
133	405	1107
134	407	1102
135	410	1098
136	413	1094
137	416	1092
138	419	1089
139	421	1084
140	425	1083
141	428	1080
142	431	1076
143	434	1072
144	437	1071
145	440	1067
146	442	1062
147	445	1058
148	447	1055
149	450	1052
150	453	1048
151	456	1044
152	458	1040
153	461	1036
154	463	1031
155	466	1028
156	468	1023
157	470	1018
158	472	1014
159	475	1010
160	477	1006
161	479	1001
162	482	997
163	484	992
164	486	987
165	488	983
166	490	978
167	492	973
168	494	969
169	497	964
170	499	960
171	501	956
172	503	951
173	506	948
174	508	944
175	511	941
176	514	939
177	516	935
178	519	931
179	521	927
180	523	922
181	526	919
182	528	915
183	530	911
184	533	908
185	535	903
186	537	899
187	539	895
188	542	892
189	544	888
190	548	887
191	550	883
192	552	879
193	554	875
194	557	871
195	559	867
196	561	863
197	563	859
198	566	857
199	569	854
200	573	853
201	578	853
202	581	850
203	585	849
204	588	846
205	591	844
206	595	842
207	598	839
208	602	838
209	605	836
210	609	834
211	613	833
212	615	829
213	620	829
214	626	830
215	633	832
216	635	828
217	638	825
218	640	822
219	643	819
220	646	816
221	648	812
222	651	809
223	654	806
224	656	802
225	659	799
226	661	795
227	664	792
228	666	788
229	668	785
230	671	781
231	674	778
232	676	775
233	678	771
234	681	768
235	683	764
236	685	760
237	688	757
238	691	754
239	693	751
240	696	748
241	698	744
242	701	741
243	703	738
244	705	734
245	707	730
246	709	727
247	712	723
248	714	720
249	716	716
250	719	714
251	722	710
252	734	717
253	738	715
254	742	713
255	745	710
256	749	708
257	752	706
258	756	703
259	760	701
260	763	699
261	766	696
262	770	694
263	773	691
264	776	688
265	779	685
266	788	688
267	793	686
268	799	686
269	803	684
270	808	682
271	812	680
272	816	678
273	819	675
274	822	672
275	825	669
276	828	667
277	832	664
278	837	663
279	841	661
280	844	658
281	846	654
282	849	651
283	853	648
284	856	646
285	859	642
286	861	639
287	864	636
288	866	632
289	870	630
290	873	627
291	876	624
292	879	621
293	882	618
294	885	615
295	889	612
296	891	609
297	894	606
298	897	603
299	900	600
300	904	597
301	908	595
302	914	594
303	918	592
304	924	590
305	927	587
306	930	584
307	933	581
308	936	578
309	939	576
310	942	572
311	945	569
312	948	566
313	950	563
314	952	559
315	955	556
316	957	552
317	960	549
318	963	546
319	966	543
320	970	541
321	973	538
322	975	534
323	978	531
324	980	528
325	983	524
326	985	521
327	989	519
